gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3351920581	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT072224	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya			GENUS	Dickeya Samson et al., 2005	Dickeya sp.		JP	 Yamaguchi		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2014-08-01T00:00:00	1	8	2014	3221963		MATERIAL_SAMPLE					Tatsuhiko Karatsu		CC_BY_4_0		Tatsuhiko Karatsu			2021-09-23T14:12:08.605Z		
3351910316	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735187	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	Virginia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:07.097Z		
3351858326	d8cd16ba-bb74-4420-821e-083f2bac17c2	RJLR01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya undicola		SPECIES	Dickeya undicola	Dickeya undicola		FR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	43.939999	4.88			30.0	0.0			2017-10-03T00:00:00	3	10	2017	11129204	11129204	MATERIAL_SAMPLE							CC_BY_4_0		Frederique Van Gijsegem			2021-09-23T14:12:52.797Z		GEODETIC_DATUM_ASSUMED_WGS84
3351835913	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT723899	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2019-09-19T00:00:00	19	9	2019	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		Chengwu Zou			2021-09-23T14:12:51.918Z		
3351829392	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW660855	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		IN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-08-20T00:00:00	20	8	2020	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		RP Meena			2021-09-23T14:12:52.231Z		
3351825871	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW660849	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		IN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-08-20T00:00:00	20	8	2020	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		RP Meena			2021-09-23T14:12:54.350Z		
3351817525	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW660854	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		IN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-08-25T00:00:00	25	8	2020	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		RP Meena			2021-09-23T14:12:11.369Z		
3351814605	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW349833	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya fangzhongdai		SPECIES	Dickeya fangzhongdai Tian et al., 2016	Dickeya fangzhongdai		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-07-01T00:00:00	1	7	2020	9413569	9413569	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:52.016Z		
3351812302	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735199	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	Massachusetts		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:50.267Z		
3351804617	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW349834	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya fangzhongdai		SPECIES	Dickeya fangzhongdai Tian et al., 2016	Dickeya fangzhongdai		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-07-01T00:00:00	1	7	2020	9413569	9413569	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:52.199Z		
3351787304	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW660852	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		IN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-08-20T00:00:00	20	8	2020	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		RP Meena			2021-09-23T14:12:11.377Z		
3351782348	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735202	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	New York		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:50.382Z		
3351782347	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735194	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	New Jersey		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:50.382Z		
3351776432	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735198	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	Massachusetts		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:50.375Z		
3351768432	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW660853	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		IN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-08-20T00:00:00	20	8	2020	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		RP Meena			2021-09-23T14:12:51.712Z		
3351767576	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW660851	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		IN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-08-20T00:00:00	20	8	2020	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		RP Meena			2021-09-23T14:12:11.369Z		
3351763273	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735197	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	New Jersey		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:51.127Z		
3351730611	d8cd16ba-bb74-4420-821e-083f2bac17c2	MW660850	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		IN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2020-08-25T00:00:00	25	8	2020	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		RP Meena			2021-09-23T14:12:11.427Z		
3351704979	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT723900	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2019-09-19T00:00:00	19	9	2019	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		Chengwu Zou			2021-09-23T14:12:51.241Z		
3351702380	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735191	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	Maine		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2015-01-01T00:00:00	1	1	2015	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:07.062Z		
3351698147	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT723898	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya zeae		SPECIES	Dickeya zeae_A	Dickeya zeae		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2019-09-19T00:00:00	19	9	2019	3221973	3221973	MATERIAL_SAMPLE							CC_BY_4_0		Chengwu Zou			2021-09-23T14:12:51.903Z		
3351694247	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735200	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	New York		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:50.926Z		
3351694246	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735192	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	Pennsylvania		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:50.926Z		
3351690207	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735201	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	New York		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:51.116Z		
3351690206	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN735193	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya dianthicola		SPECIES	Dickeya dianthicola Samson et al., 2005	Dickeya dianthicola		US	New Jersey		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221971	3221971	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:51.116Z		
