gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3351937876	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684333	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium carotovorum		SPECIES	Pectobacterium carotovorum (Jones, 1901) Waldee, 1945	Pectobacterium carotovorum		SY			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2004-01-01T00:00:00	1	1	2004	8838874	8838874	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.107Z		
3351937875	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684289	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium carotovorum		SPECIES	Pectobacterium odoriferum	Pectobacterium odoriferum		FR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1999-01-01T00:00:00	1	1	1999	11364345	8838874	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.107Z		
3351937874	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684270	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium atrosepticum		SPECIES	Pectobacterium atrosepticum (van Hall, 1902) Gardan et al., 2003	Pectobacterium atrosepticum		DZ			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1997-01-01T00:00:00	1	1	1997	3221946	3221946	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.107Z		
3351937873	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684234	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium carotovorum		SPECIES	Pectobacterium odoriferum	Pectobacterium odoriferum		FR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1982-01-01T00:00:00	1	1	1982	11364345	8838874	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.107Z		
3351937872	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684171	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium brasiliense		SPECIES	Pectobacterium brasiliense A	Pectobacterium brasiliense		BR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1999-01-01T00:00:00	1	1	1999	10826565	10826565	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.107Z		
3351937871	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684135	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium betavasculorum		SPECIES	Pectobacterium betavasculorum (Thomson et al., 1984) Gardan et al., 2003	Pectobacterium betavasculorum		FR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1997-01-01T00:00:00	1	1	1997	3221959	3221959	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.107Z		
3351937870	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684072	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium aroidearum		SPECIES	Pectobacterium aroidearum Nabhan et al., 2013	Pectobacterium aroidearum		US			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1967-01-01T00:00:00	1	1	1967	8410614	8410614	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.107Z		
3351937869	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT684036	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium brasiliense		SPECIES	Pectobacterium brasiliense A	Pectobacterium brasiliense		SY			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2003-01-01T00:00:00	1	1	2003	10826565	10826565	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.106Z		
3351937868	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT683992	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium betavasculorum		SPECIES	Pectobacterium betavasculorum (Thomson et al., 1984) Gardan et al., 2003	Pectobacterium betavasculorum		FR			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2000-01-01T00:00:00	1	1	2000	3221959	3221959	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.106Z		
3351937867	d8cd16ba-bb74-4420-821e-083f2bac17c2	MT683956	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pectobacterium	Pectobacterium betavasculorum		SPECIES	Pectobacterium betavasculorum (Thomson et al., 1984) Gardan et al., 2003	Pectobacterium betavasculorum		US			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									1974-01-01T00:00:00	1	1	1974	3221959	3221959	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:10.106Z		
