gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3350337466	d8cd16ba-bb74-4420-821e-083f2bac17c2	KF974285	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis			GENUS	Sodalis Dale & Maudlin, 1999	Sodalis sp. G03 79-5		GL	Northeast Greenland, Arctic		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2003-01-01T00:00:00	1	1	2003	3221771		MATERIAL_SAMPLE					Lars Ganzert		CC_BY_4_0		S. Kobabe			2021-09-23T14:12:38.132Z		TAXON_MATCH_HIGHERRANK
3349476839	d8cd16ba-bb74-4420-821e-083f2bac17c2	FRDB01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis			GENUS	Sodalis Dale & Maudlin, 1999	Candidatus Sodalis sp. SoCistrobi		US			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	47.201698	-94.9925							2012-07-27T00:00:00	27	7	2012	3221771		PRESERVED_SPECIMEN			3249				CC_BY_4_0		Armelle Coeur D'Acier			2021-09-23T14:12:52.087Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK
3349319817	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	JAESFE010000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis			GENUS	Sodalis Dale & Maudlin, 1999	Sodalis sp. CWE		AU	 Northern Teritory		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2002-10-23T00:00:00	23	10	2002	3221771		MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:34.692Z		TAXON_MATCH_HIGHERRANK
3349285138	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MNBX01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis			GENUS	Sodalis Dale & Maudlin, 1999	Sodalis sp. TME1		MX	 Ejido Flores Magon, Mpo. Venustiano Carranza, Chiapas		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2010-01-01T00:00:00	1	1	2010	3221771		MATERIAL_SAMPLE							CC_BY_4_0		Reiner Rincon-Rosales			2021-09-23T14:51:15.727Z		TAXON_MATCH_HIGHERRANK
3348985844	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK684362	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis	Sodalis glossinidius		SPECIES	Sodalis glossinidius Dale & Maudlin, 1999	Sodalis glossinidius		KE	Maasai Mara National Reserve		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-1.66	35.220001			1598.0	0.0			2016-06-25T00:00:00	25	6	2016	5427567	5427567	MATERIAL_SAMPLE							CC_BY_4_0		icipe Bushmeat project			2021-09-23T14:50:59.270Z		GEODETIC_DATUM_ASSUMED_WGS84
3348965871	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK684361	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis	Sodalis glossinidius		SPECIES	Sodalis glossinidius Dale & Maudlin, 1999	Sodalis glossinidius		KE	Maasai Mara National Reserve		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-1.4	35.029999			1519.0	0.0			2016-06-29T00:00:00	29	6	2016	5427567	5427567	MATERIAL_SAMPLE							CC_BY_4_0		icipe Bushmeat project			2021-09-23T14:50:56.787Z		GEODETIC_DATUM_ASSUMED_WGS84
3348939882	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK684363	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis	Sodalis glossinidius		SPECIES	Sodalis glossinidius Dale & Maudlin, 1999	Sodalis glossinidius		KE	Maasai Mara National Reserve		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	-1.4	35.029999			1519.0	0.0			2016-06-29T00:00:00	29	6	2016	5427567	5427567	MATERIAL_SAMPLE							CC_BY_4_0		icipe Bushmeat project			2021-09-23T14:51:10.397Z		GEODETIC_DATUM_ASSUMED_WGS84
3348797744	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MG822801	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis			GENUS	Sodalis Dale & Maudlin, 1999	uncultured Sodalis sp.		US	Millbrook, NY		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2013-01-01T00:00:00	1	1	2013	3221771		MATERIAL_SAMPLE					A.B.F. Ivens		CC_BY_4_0		A.B.F. Ivens			2021-09-23T14:50:59.054Z		TAXON_MATCH_HIGHERRANK
3348797743	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MG822793	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis			GENUS	Sodalis Dale & Maudlin, 1999	uncultured Sodalis sp.		US	Millbrook, NY		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2016-01-01T00:00:00	1	1	2016	3221771		MATERIAL_SAMPLE					A.B.F. Ivens		CC_BY_4_0		A.B.F. Ivens			2021-09-23T14:50:59.053Z		TAXON_MATCH_HIGHERRANK
3348768773	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MG822820	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Sodalis			GENUS	Sodalis Dale & Maudlin, 1999	uncultured Sodalis sp.		US	Millbrook, NY		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2015-01-01T00:00:00	1	1	2015	3221771		MATERIAL_SAMPLE					A.B.F. Ivens		CC_BY_4_0		A.B.F. Ivens			2021-09-23T14:50:58.735Z		TAXON_MATCH_HIGHERRANK
