gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3351712842	d8cd16ba-bb74-4420-821e-083f2bac17c2	MK748215	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria goodwinii		SPECIES	Brenneria goodwinii Denman et al., 2012	Brenneria goodwinii		ES			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2017-06-21T00:00:00	21	6	2017	7831522	7831522	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:49.081Z		
3350397594	d8cd16ba-bb74-4420-821e-083f2bac17c2	KC840804	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria salicis		SPECIES	Brenneria salicis (Day, 1924) Hauben et al., 1999	Brenneria salicis		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2011-10-20T00:00:00	20	10	2011	3221943	3221943	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:11:34.222Z		
3350338615	d8cd16ba-bb74-4420-821e-083f2bac17c2	KC840819	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria salicis		SPECIES	Brenneria salicis (Day, 1924) Hauben et al., 1999	Brenneria salicis		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2011-10-20T00:00:00	20	10	2011	3221943	3221943	MATERIAL_SAMPLE					Hormatxan Mamtimin		CC_BY_4_0					2021-09-23T14:12:36.493Z		
3350330716	d8cd16ba-bb74-4420-821e-083f2bac17c2	KC840858	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria salicis		SPECIES	Brenneria salicis (Day, 1924) Hauben et al., 1999	Brenneria salicis		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2011-10-20T00:00:00	20	10	2011	3221943	3221943	MATERIAL_SAMPLE					Hormatxan Mamtimin		CC_BY_4_0					2021-09-23T14:12:38.880Z		
3350324743	d8cd16ba-bb74-4420-821e-083f2bac17c2	KC840818	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria salicis		SPECIES	Brenneria salicis (Day, 1924) Hauben et al., 1999	Brenneria salicis		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2011-10-20T00:00:00	20	10	2011	3221943	3221943	MATERIAL_SAMPLE					Hormatxan Mamtimin		CC_BY_4_0					2021-09-23T14:11:34.186Z		
3350322818	d8cd16ba-bb74-4420-821e-083f2bac17c2	KC840817	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria salicis		SPECIES	Brenneria salicis (Day, 1924) Hauben et al., 1999	Brenneria salicis		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2011-10-20T00:00:00	20	10	2011	3221943	3221943	MATERIAL_SAMPLE					Hormatxan Mamtimin		CC_BY_4_0					2021-09-23T14:11:34.162Z		
3350178610	d8cd16ba-bb74-4420-821e-083f2bac17c2	JQ314082	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria			GENUS	Brenneria Hauben et al., 1999	Brenneria sp. AaM36c		US	Asheville, NC		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2010-01-01T00:00:00	1	1	2010	3221934		MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:11:29.812Z		TAXON_MATCH_HIGHERRANK
3350111607	d8cd16ba-bb74-4420-821e-083f2bac17c2	JQ614023	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria alni		SPECIES	Brenneria alni (Surico et al., 1996) Hauben et al., 1999	Brenneria alni		IT			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2010-06-15T00:00:00	15	6	2010	3221939	3221939	MATERIAL_SAMPLE							CC_BY_4_0		J.R. Lamichhane			2021-09-23T14:11:30.625Z		
3350110763	d8cd16ba-bb74-4420-821e-083f2bac17c2	JQ614024	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria	Brenneria alni		SPECIES	Brenneria alni (Surico et al., 1996) Hauben et al., 1999	Brenneria alni		IT			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2010-06-15T00:00:00	15	6	2010	3221939	3221939	MATERIAL_SAMPLE							CC_BY_4_0		J.R. Lamichhane			2021-09-23T14:12:36.496Z		
3350101563	d8cd16ba-bb74-4420-821e-083f2bac17c2	JQ314093	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Brenneria			GENUS	Brenneria Hauben et al., 1999	Brenneria sp. AaM36a		US	Asheville, NC		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2010-01-01T00:00:00	1	1	2010	3221934		MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:12:35.259Z		TAXON_MATCH_HIGHERRANK
