gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3399127733	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/89254387	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Lonsdalea quercina D	Lonsdalea quercina		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.549256	-122.322269							2021-07-30T13:30:00	30	7	2021	7616133	7616133	HUMAN_OBSERVATION	iNaturalist	Observations	89254387		Leslie Flint	2021-07-30T23:00:54	CC_BY_NC_4_0	Leslie Flint	Leslie Flint			2021-11-06T01:48:19.706Z	StillImage	COORDINATE_ROUNDED
3398711790	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/94404337	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Lonsdalea quercina D	Lonsdalea quercina		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.323572	-122.162981	948.0						2021-09-10T09:07:00	10	9	2021	7616133	7616133	HUMAN_OBSERVATION	iNaturalist	Observations	94404337		Robin Gwen Agarwal	2021-09-11T04:53:10	CC_BY_NC_4_0	Robin Gwen Agarwal	Robin Gwen Agarwal			2021-11-06T00:31:03.441Z	StillImage	COORDINATE_ROUNDED
3391631301	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/98246710	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Lonsdalea quercina D	Lonsdalea quercina		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.238547	-122.069077							2021-10-14T11:06:00	14	10	2021	7616133	7616133	HUMAN_OBSERVATION	iNaturalist	Observations	98246710		jellyfishww	2021-10-15T00:52:17	CC_BY_NC_4_0	jellyfishww	jellyfishww			2021-11-06T01:18:41.490Z	StillImage	COORDINATE_ROUNDED
3349366980	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	LUSX01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea populi		SPECIES	Lonsdalea populi	Lonsdalea populi		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2011-08-13T00:00:00	13	8	2011	10807212	10807212	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:31.571Z		
3349366979	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	LUST01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea populi		SPECIES	Lonsdalea populi	Lonsdalea populi		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2014-08-13T00:00:00	13	8	2014	10807212	10807212	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:31.570Z		
3349357866	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	LUTN01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea britannica		SPECIES	Lonsdalea britannica	Lonsdalea britannica		GB			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2010-08-13T00:00:00	13	8	2010	10816695	10816695	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:31.250Z		
3349357865	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	LUTJ01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea populi		SPECIES	Lonsdalea populi	Lonsdalea populi		HU			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2011-08-13T00:00:00	13	8	2011	10807212	10807212	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:31.249Z		
3349350845	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	RJUJ01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea populi		SPECIES	Lonsdalea populi	Lonsdalea populi		CN	 Ningxia		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2018-06-01T00:00:00	1	6	2018	10807212	10807212	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:16.674Z		
3349346261	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	LUSP01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina		SPECIES	Lonsdalea quercina D	Lonsdalea quercina		CN			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2012-08-31T00:00:00	31	8	2012	7616133	7616133	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:18.499Z		
3349321102	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	JIBP01000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Lonsdalea	Lonsdalea quercina	quercina	SUBSPECIES	Lonsdalea quercina subsp. quercina	Lonsdalea quercina subsp. quercina		US	 Boulder, Colorado		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2010-01-01T00:00:00	1	1	2010	8406662	7616133	MATERIAL_SAMPLE							CC_BY_4_0					2021-09-23T14:51:15.553Z		
